"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Acoustic dead zone","2007","Stratum_1"," [kg*km2/km2]",5771423358.87982,862987583.742862,0.149527686686696
"ADZ to Effective fishing height","2007","Stratum_1"," [kg*km2/km2]",1596099916.41645,219954871.655262,0.137807708272489
"EFH to surface","2007","Stratum_1"," [kg*km2/km2]",2096587812.64566,426921257.995073,0.20362670021264
"Acoustic dead zone","2008","Stratum_1"," [kg*km2/km2]",3990190076.14811,481492428.897247,0.120669045761862
"ADZ to Effective fishing height","2008","Stratum_1"," [kg*km2/km2]",1120399137.77928,164003498.115011,0.146379529031126
"EFH to surface","2008","Stratum_1"," [kg*km2/km2]",854190463.099292,181896071.723029,0.212945566101322
"Acoustic dead zone","2009","Stratum_1"," [kg*km2/km2]",1378292418.54397,177628426.40879,0.128875718983085
"ADZ to Effective fishing height","2009","Stratum_1"," [kg*km2/km2]",891005787.555571,134072729.642089,0.150473466631357
"EFH to surface","2009","Stratum_1"," [kg*km2/km2]",302880151.140151,64593392.0577442,0.213263866300222
"Acoustic dead zone","2010","Stratum_1"," [kg*km2/km2]",8433543229.01525,1332405389.55685,0.157988801785323
"ADZ to Effective fishing height","2010","Stratum_1"," [kg*km2/km2]",855771090.043344,142638846.455934,0.166678739344547
"EFH to surface","2010","Stratum_1"," [kg*km2/km2]",1382020788.95329,327183083.37748,0.236742519354778
"Acoustic dead zone","2011","Stratum_1"," [kg*km2/km2]",6004282821.76398,771385978.005255,0.12847262544149
"ADZ to Effective fishing height","2011","Stratum_1"," [kg*km2/km2]",0,0,0
"EFH to surface","2011","Stratum_1"," [kg*km2/km2]",0,0,0
